ID,Name,Description (Short),Name (Chinese),Description (Chinese Short)
laserfocus,Laser Focus,"Until the end of the next turn, user's moves crit.",磨砺,集中精神，下次攻击必定会击中要害。
lashout,Lash Out,2x power if the user had a stat lowered this turn.,泄愤,攻击对手以发泄对其感到的恼怒情绪。如果在该回合内自身能力遭到降低，招式的威力会变成２倍。
lastresort,Last Resort,Fails unless each known move has been used.,珍藏,当战斗中已学会的招式全部使用过后，才能开始使出珍藏的招式。
lavaplume,Lava Plume,30% chance to burn adjacent Pokemon.,喷烟,用熊熊烈火攻击自己周围所有的宝可梦。30%几率使目标会陷入灼伤状态。
leafage,Leafage,No additional effect.,树叶,将叶片打向对手，进行攻击。
leafblade,Leaf Blade,High critical hit ratio.,叶刃,像用剑一般操纵叶片切斩对手进行攻击。容易击中要害。
leafstorm,Leaf Storm,Lowers the user's Sp. Atk by 2.,飞叶风暴,用尖尖的叶片向对手卷起风暴。使用之后因为反作用力会使自己的特攻降低2级。
leaftornado,Leaf Tornado,50% chance to lower the target's accuracy by 1.,青草搅拌器,用锋利的叶片包裹住对手进行攻击。50%几率降低对手的命中率1级。
leechlife,Leech Life,User recovers 50% of the damage dealt.,吸血,吸取血液攻击对手。可以回复给予对手伤害的一半ＨＰ。
leechseed,Leech Seed,1/8 of target's HP is restored to user every turn.,寄生种子,植入寄生种子后，将在每回合一点一点吸取对手最大HP1/8的ＨＰ，从而用来回复自己的ＨＰ。
leer,Leer,Lowers the foe(s) Defense by 1.,瞪眼,用犀利的眼神使其害怕，从而降低对手的防御1级。
letssnuggleforever,Let's Snuggle Forever,No additional effect.,亲密无间大乱揍,得到Ｚ力量的谜拟Ｑ将全力进行乱揍攻击。
lick,Lick,30% chance to paralyze the target.,舌舔,用长长的舌头，舔遍对手进行攻击。30%几率让对手陷入麻痹状态。
lifedew,Life Dew,Heals the user and its allies by 1/4 their max HP.,生命水滴,喷洒出神奇的水，回复自己和场上同伴1/4的ＨＰ。
lightofruin,Light of Ruin,Has 1/2 recoil.,破灭之光,借用永恒之花的力量，发射出强力光线。自己也会受到造成伤害的一半的伤害。
lightscreen,Light Screen,"For 5 turns, special damage to allies is halved.",光墙,在５回合内使用神奇的墙，从对手那受到的特殊攻击的伤害减半。
lightthatburnsthesky,Light That Burns the Sky,Physical if user's Atk > Sp. Atk. Ignores Abilities.,焚天灭世炽光爆,奈克洛兹玛会无视对手的特性效果，在攻击和特攻之间，用数值相对较高的一项给予对方伤害。
liquidation,Liquidation,20% chance to lower the target's Defense by 1.,水流裂破,用水之力量撞向对手进行攻击。20%几率降低对手的防御1级。
lockon,Lock-On,User's next move will not miss the target.,锁定,紧紧瞄准对手，下次攻击必定会打中。
lovelykiss,Lovely Kiss,Causes the target to fall asleep.,恶魔之吻,用恐怖的脸强吻对手。让对手陷入睡眠状态。
lowkick,Low Kick,More power the heavier the target.,踢倒,用力踢对手的脚，使其摔倒进行攻击。对手越重，威力越大。
lowsweep,Low Sweep,100% chance to lower the target's Speed by 1.,下盘踢,以敏捷的动作瞄准对手的脚进行攻击。100%几率降低对手的速度1级。
luckychant,Lucky Chant,"For 5 turns, shields user's party from critical hits.",幸运咒语,向天许愿，从而在５回合内不会被对手的攻击打中要害。
lunardance,Lunar Dance,"User faints. Replacement is fully healed, with PP.",新月舞,虽然自己陷入濒死，但可以治愈后备上场的宝可梦的全部HP和异常状态。
lunge,Lunge,100% chance to lower the target's Attack by 1.,猛扑,全力猛扑对手进行攻击。100%几率降低对手的攻击1级。
lusterpurge,Luster Purge,50% chance to lower the target's Sp. Def by 1.,洁净光芒,释放耀眼的光芒进行攻击。50%几率降低对手的特防1级。
machpunch,Mach Punch,Usually goes first.,音速拳,以迅雷不及掩耳之势出拳。必定能够先制攻击。
magicalleaf,Magical Leaf,This move does not check accuracy.,魔法叶,散落可以追踪对手的神奇叶片。攻击必定会命中。
magiccoat,Magic Coat,Bounces back certain non-damaging moves.,魔法反射,当对手使出会变成异常状态的招式或寄生种子等时，会将对手的招式反射回去。
magicpowder,Magic Powder,Changes the target's type to Psychic.,魔法粉,向对手喷洒魔法粉，使对手变为超能力属性。
magicroom,Magic Room,"For 5 turns, all held items have no effect.",魔法空间,制造出离奇的空间。在５回合内所有宝可梦携带道具的效果都会消失。
magmastorm,Magma Storm,Traps and damages the target for 4-5 turns.,熔岩风暴,将对手困在熊熊燃烧的火焰中，在４～５回合内进行攻击。
magnetbomb,Magnet Bomb,This move does not check accuracy.,磁铁炸弹,发射吸住对手的钢铁炸弹。攻击必定会命中。
magneticflux,Magnetic Flux,"Raises Def, Sp. Def of allies with Plus/Minus by 1.",磁场操控,通过操控磁场，100%几率提高己方所有特性为正电和负电的宝可梦的防御和特防各1级。
magnetrise,Magnet Rise,"For 5 turns, the user has immunity to Ground.",电磁漂浮,利用电气产生的磁力浮在空中。在５回合内可以飘浮。
magnitude,Magnitude,Hits adjacent Pokemon. Power varies; 2x on Dig.,震级,晃动地面，攻击自己周围所有的宝可梦。招式的威力会有各种变化。
maliciousmoonsault,Malicious Moonsault,Damage doubles if the target used Minimize.,极恶飞跃粉碎击,通过Ｚ力量得到强壮肉体的炽焰咆哮虎将全力撞向对手进行攻击。
matblock,Mat Block,Protects allies from damaging attacks. Turn 1 only.,掀榻榻米,将掀起来的榻榻米当作盾牌，防住自己和同伴免受招式伤害。变化招式无法防住。
maxairstream,Max Airstream,Base move affects power. Allies: +1 Speed.,极巨飞冲,极巨化宝可梦使出的飞行属性攻击。100%几率提升我方的速度1级。
maxdarkness,Max Darkness,Base move affects power. Foes: -1 Sp. Def.,极巨恶霸,极巨化宝可梦使出的恶属性攻击。100%几率降低对手的特防1级。
maxflare,Max Flare,Base move affects power. Starts Sunny Day.,极巨火爆,极巨化宝可梦使出的火属性攻击。可在５回合内将天气变为大晴天。
maxflutterby,Max Flutterby,Base move affects power. Foes: -1 Sp. Atk.,极巨虫蛊,极巨化宝可梦使出的虫属性攻击。100%几率降低对手的特攻1级。
maxgeyser,Max Geyser,Base move affects power. Starts Rain Dance.,极巨水流,极巨化宝可梦使出的水属性攻击。可在５回合内将天气变为降雨。
maxguard,Max Guard,Protects user from moves & Max Moves this turn.,极巨防壁,完全抵挡对手的攻击。连续使出则容易失败。
maxhailstorm,Max Hailstorm,Base move affects power. Starts Hail.,极巨寒冰,极巨化宝可梦才能使出的冰属性攻击。在５回合内会降下冰雹。
maxknuckle,Max Knuckle,Base move affects power. Allies: +1 Attack.,极巨拳斗,极巨化宝可梦使出的格斗属性攻击。100%几率提升我方的攻击1级。
maxlightning,Max Lightning,Base move affects power. Starts Electric Terrain.,极巨闪电,极巨化宝可梦使出的电属性攻击。可在５回合内将脚下变成电气场地。
maxmindstorm,Max Mindstorm,Base move affects power. Starts Psychic Terrain.,极巨超能,极巨化宝可梦使出的超能力属性攻击。可在５回合内将脚下变成精神场地。
maxooze,Max Ooze,Base move affects power. Allies: +1 Sp. Atk.,极巨酸毒,极巨化宝可梦使出的毒属性攻击。100%几率提升我方的特攻1级。
maxovergrowth,Max Overgrowth,Base move affects power. Starts Grassy Terrain.,极巨草原,极巨化宝可梦使出的草属性攻击。可在５回合内将脚下变成青草场地。
maxphantasm,Max Phantasm,Base move affects power. Foes: -1 Defense.,极巨幽魂,极巨化宝可梦使出的幽灵属性攻击。100%几率降低对手的防御1级。
maxquake,Max Quake,Base move affects power. Allies: +1 Sp. Def.,极巨大地,极巨化宝可梦使出的地面属性攻击。100%几率提升我方的特防1级。
maxrockfall,Max Rockfall,Base move affects power. Starts Sandstorm.,极巨岩石,极巨化宝可梦使出的岩石属性攻击。可在５回合内将天气变为沙暴。
maxstarfall,Max Starfall,Base move affects power. Starts Misty Terrain.,极巨妖精,极巨化宝可梦使出的妖精属性攻击。可在５回合内将脚下变成薄雾场地。
maxsteelspike,Max Steelspike,Base move affects power. Allies: +1 Defense.,极巨钢铁,极巨化宝可梦使出的钢属性攻击。100%几率提升我方的防御1级。
maxstrike,Max Strike,Base move affects power. Foes: -1 Speed.,极巨攻击,极巨化宝可梦使出的一般属性攻击。100%几率降低对手的速度1级。
maxwyrmwind,Max Wyrmwind,Base move affects power. Foes: -1 Attack.,极巨龙骑,极巨化宝可梦使出的龙属性攻击。100%几率降低对手的攻击1级。
meanlook,Mean Look,Prevents the target from switching out.,黑色目光,用好似要勾人心魂的黑色目光一动不动地凝视对手，使其不能从战斗中逃走。
meditate,Meditate,Raises the user's Attack by 1.,瑜伽姿势,唤醒身体深处沉睡的力量，从而提高自己的攻击。
mefirst,Me First,Copies a foe at 1.5x power. User must be faster.,抢先一步,提高威力，抢先使出对手想要使出的招式。如果不先使出则会失败。
megadrain,Mega Drain,User recovers 50% of the damage dealt.,超级吸取,吸取对手的养分进行攻击。可以回复给予对手伤害的一半ＨＰ。
megahorn,Megahorn,No additional effect.,超级角击,用坚硬且华丽的角狠狠地刺入对手进行攻击。
megakick,Mega Kick,No additional effect.,百万吨重踢,使出力大无穷的重踢踢飞对手进行攻击。
megapunch,Mega Punch,No additional effect.,百万吨重拳,用充满力量的拳头攻击对手。
memento,Memento,"Lowers target's Attack, Sp. Atk by 2. User faints.",临别礼物,虽然会使自己陷入濒死，但是有100%几率能够低对手的攻击和特攻各2级。
menacingmoonrazemaelstrom,Menacing Moonraze Maelstrom,Ignores the Abilities of other Pokemon.,月华飞溅落云霄,得到Ｚ力量的露奈雅拉将全力进行攻击。可以无视对手的特性效果。
metalburst,Metal Burst,"If hit by an attack, returns 1.5x damage.",金属爆炸,使出招式前，将最后受到的招式的伤害大力返还给对手。
metalclaw,Metal Claw,10% chance to raise the user's Attack by 1.,金属爪,用钢铁之爪劈开对手进行攻击。10%几率提高自己的攻击1级。
metalsound,Metal Sound,Lowers the target's Sp. Def by 2.,金属音,让对手听摩擦金属般讨厌的声音。大幅降低对手的特防。
meteorassault,Meteor Assault,User cannot move next turn.,流星突击,攻击目标造成伤害。下一回合自己将无法动弹。
meteorbeam,Meteor Beam,Raises user's Sp. Atk by 1 on turn 1. Hits turn 2.,流星光束,第一回合进行蓄力，同时令使用者的特攻提升1级，第二回合发动攻击。
meteormash,Meteor Mash,20% chance to raise the user's Attack by 1.,彗星拳,攻击目标造成伤害。20%几率令使用者的攻击提升1级。
metronome,Metronome,Picks a random move.,挥指,在所有招式中随机选择1个招式并使用。
milkdrink,Milk Drink,Heals the user by 50% of its max HP.,喝牛奶,恢复使用者的50%的ＨＰ值。
mimic,Mimic,The last move the target used replaces this one.,模仿,招式替换为目标最后使用的招式，ＰＰ改变为5。
mindblown,Mind Blown,User loses 50% max HP. Hits adjacent Pokemon.,惊爆大头,攻击目标造成伤害。使用者的ＨＰ减少最大ＨＰ的一半。
mindreader,Mind Reader,User's next move will not miss the target.,心之眼,用心感受对手的行动，下次攻击必定会击中对手。
minimize,Minimize,Raises the user's evasiveness by 2.,变小,令使用者的闪避率提升2级。
miracleeye,Miracle Eye,Psychic hits Dark. Evasiveness ignored.,奇迹之眼,对恶属性宝可梦没有效果的招式以及闪避率高的对手，使用后变得能够打中。
mirrorcoat,Mirror Coat,"If hit by special attack, returns double damage.",镜面反射,造成使用者上一次受到的特殊伤害×2的固定伤害。
mirrormove,Mirror Move,User uses the target's last used move against it.,鹦鹉学舌,使用目标最后使用过的招式。
mirrorshot,Mirror Shot,30% chance to lower the target's accuracy by 1.,镜光射击,攻击目标造成伤害。30%几率令目标的命中率降低1级。
mist,Mist,"For 5 turns, protects user's party from stat drops.",白雾,使己方场地在5回合内处于白雾状态。处于白雾状态的场地上的宝可梦的能力变化不会下降。
mistball,Mist Ball,50% chance to lower the target's Sp. Atk by 1.,薄雾球,攻击目标造成伤害。50%几率令目标的特攻降低1级。
mistyexplosion,Misty Explosion,User faints. User on Misty Terrain: 1.5x power.,薄雾炸裂,对自己周围的所有宝可梦进行攻击，自己陷入濒死。在薄雾场地上，招式威力会提高50%。
mistyterrain,Misty Terrain,"5 turns. Can't status,-Dragon power vs grounded.",薄雾场地,5回合内地面上的宝可梦免受异常状态影响。使龙属性招式的伤害减半。
moonblast,Moonblast,30% chance to lower the target's Sp. Atk by 1.,月亮之力,攻击目标造成伤害。30%几率令目标的特攻降低1级。
moongeistbeam,Moongeist Beam,Ignores the Abilities of other Pokemon.,暗影之光,攻击目标造成伤害。攻击时能够使目标特性失效。
moonlight,Moonlight,Heals the user by a weather-dependent amount.,月光,月光恢复使用者的ＨＰ值。恢复量由当前天气决定。
morningsun,Morning Sun,Heals the user by a weather-dependent amount.,晨光,晨光恢复使用者的ＨＰ值。恢复量由当前天气决定。
mudbomb,Mud Bomb,30% chance to lower the target's accuracy by 1.,泥巴炸弹,攻击目标造成伤害。30%几率令目标的命中率降低1级。
mudshot,Mud Shot,100% chance to lower the target's Speed by 1.,泥巴射击,攻击目标造成伤害。100%几率令目标的速度降低1级
mudslap,Mud-Slap,100% chance to lower the target's accuracy by 1.,掷泥,攻击目标造成伤害。100%几率令目标的命中率降低1级。
mudsport,Mud Sport,"For 5 turns, Electric-type attacks have 1/3 power.",玩泥巴,使场地进入玩泥巴状态５回合，降低电属性招式的威力。
muddywater,Muddy Water,30% chance to lower the foe(s) accuracy by 1.,浊流,攻击目标造成伤害。30%几率令目标的命中率降低1级
multiattack,Multi-Attack,Type varies based on the held Memory.,多属性攻击,攻击目标造成伤害。招式属性根据使用者进入战斗时携带的存储碟决定。
mysticalfire,Mystical Fire,100% chance to lower the target's Sp. Atk by 1.,魔法火焰,攻击目标造成伤害。100%几率令目标的特攻降低1级。
nastyplot,Nasty Plot,Raises the user's Sp. Atk by 2.,诡计,令使用者的特攻提升2级。
naturalgift,Natural Gift,Power and type depends on the user's Berry.,自然之恩,攻击目标造成伤害，威力和属性取决于这只宝可梦身上的树果。
naturepower,Nature Power,Attack depends on terrain (default Tri Attack).,自然之力,根据地形或场地型状态的不同使用另一个招式，场地型状态的效果覆盖地形的效果。
naturesmadness,Nature's Madness,Does damage equal to 1/2 target's current HP.,自然之怒,攻击目标造成固定伤害，伤害值为对手剩余ＨＰ的一半，向下取整，但最小为1。
needlearm,Needle Arm,30% chance to flinch the target.,尖刺臂,攻击目标造成伤害。30%的几率使目标陷入畏缩状态。
neverendingnightmare,Never-Ending Nightmare,Power is equal to the base move's Z-Power.,无尽暗夜之诱惑,通过Ｚ力量召唤强烈的怨念，全力降临到对手身上。威力会根据原来的招式而改变。
nightdaze,Night Daze,40% chance to lower the target's accuracy by 1.,暗黑爆破,攻击目标造成伤害。40%几率令目标的命中率降低1级。
nightmare,Nightmare,A sleeping target is hurt by 1/4 max HP per turn.,恶梦,处于恶梦状态的宝可梦在每个回合结束时损失最大ＨＰ的1⁄4。
nightshade,Night Shade,Does damage equal to the user's level.,黑夜魔影,造成与使用者等级相等的固定伤害。
nightslash,Night Slash,High critical hit ratio.,暗袭要害,攻击目标造成伤害。击中要害率比普通招式高1级。
nobleroar,Noble Roar,Lowers the target's Attack and Sp. Atk by 1.,战吼,令目标的攻击、特攻各降低1级。
noretreat,No Retreat,Raises all stats by 1 (not acc/eva). Traps user.,背水一战,令使用者的攻击、防御、特攻、特防和速度提升1级。使用者进入无法逃走状态。
nuzzle,Nuzzle,100% chance to paralyze the target.,蹭蹭脸颊,攻击目标造成伤害，蹭蹭脸颊会使目标陷入麻痹状态。
oblivionwing,Oblivion Wing,User recovers 75% of the damage dealt.,死亡之翼,攻击目标造成伤害，自身的ＨＰ恢复造成的伤害的75%。
obstruct,Obstruct,Protects from damaging attacks. Contact: -2 Def.,拦堵,完全抵挡对手的攻击。连续使出则容易失败。一旦触碰，令攻击方的防御下降2级。
oceanicoperetta,Oceanic Operetta,No additional effect.,海神庄严交响乐,通过Ｚ力量召唤大量水的西狮海壬将全力攻击对手。
octazooka,Octazooka,50% chance to lower the target's accuracy by 1.,章鱼桶炮,攻击目标造成伤害。50%几率令目标的命中率降低1级
octolock,Octolock,"Traps target, lowers Def and SpD by 1 each turn.",蛸固,让对手无法逃走。并每回合都会降低防御和特防1级。
odorsleuth,Odor Sleuth,"Fighting, Normal hit Ghost. Evasiveness ignored.",气味侦测,对幽灵属性宝可梦没有效果的招式以及闪避率高的对手，使用后变得能够打中。
ominouswind,Ominous Wind,10% chance to raise all stats by 1 (not acc/eva).,奇异之风,攻击目标造成伤害。10%几率令使用者的攻击、防御、特攻、特防和速度提升1级。
originpulse,Origin Pulse,No additional effect. Hits adjacent foes.,根源波动,攻击目标造成伤害。
outrage,Outrage,Lasts 2-3 turns. Confuses the user afterwards.,逆鳞,在２～３回合内，乱打一气地进行攻击。大闹一番后自己会陷入混乱。
overdrive,Overdrive,No additional effect. Hits foe(s).,破音,攻击目标造成伤害。
overheat,Overheat,Lowers the user's Sp. Atk by 2.,过热,攻击目标造成伤害。令使用者的特攻降低2级。
painsplit,Pain Split,Shares HP of user and target equally.,分担痛楚,将自己的ＨＰ和对手的ＨＰ相加，然后自己和对手友好地平分。
paleowave,Paleo Wave,20% chance to lower the target's Attack by 1.,海浪,20%几率使目标的攻击降低1。
paraboliccharge,Parabolic Charge,User recovers 50% of the damage dealt.,抛物面充电,攻击周围的目标造成伤害，自身的ＨＰ恢复对所有目标造成的总伤害的50%。
partingshot,Parting Shot,"Lowers target's Atk, Sp. Atk by 1. User switches.",抛下狠话,令目标的攻击、特攻各降低1级。
payback,Payback,Power doubles if the user moves after the target.,以牙还牙,蓄力攻击。如果能在对手之后攻击，招式的威力会变成２倍。
payday,Pay Day,Scatters coins.,聚宝功,攻击目标造成伤害。每使用一次这个招式，向地上投掷5×使用者等级的金币。
peck,Peck,No additional effect.,啄,攻击目标造成伤害。
perishsong,Perish Song,All active Pokemon will faint in 3 turns.,灭亡之歌,陷入灭亡之歌状态当回合的3回合之后宝可梦陷入濒死状态，替换后效果消失。
petalblizzard,Petal Blizzard,No additional effect. Hits adjacent Pokemon.,落英缤纷,对攻击目标造成伤害。
petaldance,Petal Dance,Lasts 2-3 turns. Confuses the user afterwards.,花瓣舞,攻击随机一位对手造成伤害。接下来的2～3回合强制使用花瓣舞进行攻击。
phantomforce,Phantom Force,Disappears turn 1. Hits turn 2. Breaks protection.,潜灵奇袭,第１回合消失在某处，第２回合攻击对手。可以无视守护进行攻击。
photongeyser,Photon Geyser,Physical if user's Atk > Sp. Atk. Ignores Abilities.,光子喷涌,攻击目标造成伤害。如果使用者的攻击大于特攻，则此招式变成物理招式。并使其特性失效。
pikapapow,Pika Papow,Max happiness: 102 power. Can't miss.,闪闪雷光,攻击目标造成伤害。威力随着亲密度增加，为亲密度÷2.5；最大102，最小1。
pinmissile,Pin Missile,Hits 2-5 times in one turn.,飞弹针,攻击目标造成伤害，一回合内连续攻击2～5次。
plasmafists,Plasma Fists,Normal moves become Electric type this turn.,等离子闪电拳,攻击目标造成伤害。直到回合结束，所有一般属性招式都是电属性。
playnice,Play Nice,Lowers the target's Attack by 1.,和睦相处,令目标的攻击降低1级。
playrough,Play Rough,10% chance to lower the target's Attack by 1.,嬉闹,攻击目标造成伤害。10%几率令目标的攻击降低1级。
pluck,Pluck,User steals and eats the target's Berry.,啄食,攻击目标造成伤害。如果目标携带了树果，消耗掉目标的树果。
poisonfang,Poison Fang,50% chance to badly poison the target.,剧毒牙,攻击目标造成伤害。50%的几率使目标陷入剧毒状态。
poisongas,Poison Gas,Poisons the foe(s).,毒瓦斯,使目标陷入中毒状态。
poisonjab,Poison Jab,30% chance to poison the target.,毒击,攻击目标造成伤害。30%的几率使目标陷入中毒状态。
poisonpowder,Poison Powder,Poisons the target.,毒粉,使目标陷入中毒状态。
poisonsting,Poison Sting,30% chance to poison the target.,毒针,攻击目标造成伤害。30%的几率使目标陷入中毒状态。
poisontail,Poison Tail,High critical hit ratio. 10% chance to poison.,毒尾,攻击目标造成伤害。击中要害率比普通招式高1级。10%的几率使目标陷入中毒状态。
pollenpuff,Pollen Puff,"If the target is an ally, heals 50% of its max HP.",花粉团,对敌人使用是会爆炸的团子。对我方使用则是给予回复最大HP的50%。
poltergeist,Poltergeist,Fails if the target has no held item.,灵骚,探知目标道具进行攻击，该效果不会消耗目标的道具。
pound,Pound,No additional effect.,拍击,攻击目标造成伤害。
powder,Powder,"If using a Fire move, target loses 1/4 max HP.",粉尘,如果被撒到粉尘的对手使用火招式，则会爆炸并给予最大HP1/4的伤害。
powdersnow,Powder Snow,10% chance to freeze the foe(s).,细雪,攻击目标造成伤害。10%的几率使目标陷入冰冻状态。
powergem,Power Gem,No additional effect.,力量宝石,攻击目标造成伤害。
powersplit,Power Split,Averages Attack and Sp. Atk stats with target.,力量平分,利用超能力将自己和对手的攻击和特攻相加，再进行平分。
powerswap,Power Swap,Swaps Attack and Sp. Atk stat stages with target.,力量互换,和对手交换攻击和特攻的能力变化。
powertrick,Power Trick,Switches user's Attack and Defense stats.,力量戏法,使自身进入力量戏法状态，交换自身的攻击和防御。
powertrip,Power Trip, + 20 power for each of the user's stat boosts.,嚣张,攻击目标造成伤害。自身每有一项能力变化提升一级，招式威力增加20。
poweruppunch,Power-Up Punch,100% chance to raise the user's Attack by 1.,增强拳,攻击目标造成伤害。100%几率令使用者的攻击提升1级。
powerwhip,Power Whip,No additional effect.,强力鞭打,攻击目标造成伤害。
precipiceblades,Precipice Blades,No additional effect. Hits adjacent foes.,断崖之剑,攻击目标造成伤害。
present,Present,"40, 80, 120 power, or heals target 1/4 max HP.",礼物,40点威力攻击对手几率为40%，80点威力攻击对手几率为30%，120点威力攻击对手几率为10%，治愈对手满ＨＰ的1⁄4几率为20%。
prismaticlaser,Prismatic Laser,User cannot move next turn.,棱镜镭射,用棱镜的力量发射强烈光线。下一回合自己将无法动弹。
protect,Protect,Prevents moves from affecting the user this turn.,守住,完全抵挡对手的攻击。连续使出则容易失败。
psybeam,Psybeam,10% chance to confuse the target.,幻象光线,攻击目标造成伤害。10%的几率使目标陷入混乱状态。
psychup,Psych Up,Copies the target's current stat stages.,自我暗示,取消自身能力的变化，并复制对手的能力变化。
psychic,Psychic,10% chance to lower the target's Sp. Def by 1.,精神强念,攻击目标造成伤害。10%几率令目标的特防降低1级。
psychicfangs,Psychic Fangs,"Destroys screens, unless the target is immune.",精神之牙,破坏对方场地的光墙、反射壁和极光幕，并攻击目标造成伤害。
psychicterrain,Psychic Terrain,"5 turns. Grounded: +Psychic power, priority-safe.",精神场地,5回合内站在地上的宝可梦不受到对手优先度为+1或以上的招式影响，且超能力属性招式的威力提升30%。
psychoboost,Psycho Boost,Lowers the user's Sp. Atk by 2.,精神突进,攻击目标造成伤害。令使用者的特攻降低2级。
psychocut,Psycho Cut,High critical hit ratio.,精神利刃,攻击目标造成伤害。击中要害率比普通招式高1级。
psychoshift,Psycho Shift,Transfers the user's status ailment to the target.,精神转移,如果自身有异常状态，则把自身的异常状态转移给目标，自身解除异常状态。目标的同步特性无法发动。
psyshock,Psyshock,"Damages target based on Defense, not Sp. Def.",精神冲击,将神奇的念波实体化攻击对手。给予物理伤害。使目标防御代替特防计算伤害。
psystrike,Psystrike,"Damages target based on Defense, not Sp. Def.",精神击破,将神奇的念波实体化攻击对手。给予物理伤害。使目标防御代替特防计算伤害。
psywave,Psywave,Random damage equal to 0.5x-1.5x user's level.,精神波,向对手发射神奇的念波进行攻击。每次使用，伤害都会改变。
pulverizingpancake,Pulverizing Pancake,No additional effect.,认真起来大爆击,通过Ｚ力量使得认真起来的卡比兽跃动巨大身躯，全力向对手发动袭击。必定会命中目标。
punishment,Punishment,60 power +20 for each of the target's stat boosts.,惩罚,根据能力变化，对手提高的力量越大，招式的威力越大。
purify,Purify,Cures target's status; heals user 1/2 max HP if so.,净化,治愈对手的异常状态。治愈后可以回复自身最大HP的一半。
pursuit,Pursuit,"If a foe is switching out, hits it at 2x power.",追打,当对手替换宝可梦上场时使出此招式的话，能够以２倍的威力进行攻击。
pyroball,Pyro Ball,10% chance to burn the target. Thaws user.,火焰球,点燃小石子，形成火球攻击对手。10%几率使对手陷入灼伤状态。
quash,Quash,Forces the target to move last this turn.,延后,压制对手，从而将其行动顺序放到最后。
quickattack,Quick Attack,Usually goes first.,电光一闪,以迅雷不及掩耳之势扑向对手。必定能够先制攻击。
quickguard,Quick Guard,Protects allies from priority attacks this turn.,快速防守,守护自己和同伴，以防对手的先制攻击。
quiverdance,Quiver Dance,"Raises the user's Sp. Atk, Sp. Def, Speed by 1.",蝶舞,轻巧地跳起神秘而又美丽的舞蹈。提高自己的特攻、特防和速度各1级。
rage,Rage,Raises the user's Attack by 1 if hit during use.,愤怒,如果在使出招式后受到攻击的话，会因愤怒的力量而提高自身攻击1级。
ragepowder,Rage Powder,The foes' moves target the user on the turn used.,愤怒粉,将令人烦躁的粉末撒在自己身上，用以吸引对手的注意。使对手的攻击全部指向自己。
raindance,Rain Dance,"For 5 turns, heavy rain powers Water moves.",求雨,在５回合内一直降雨，从而提高水属性的招式威力。火属性的招式威力则降低。
rapidspin,Rapid Spin,Free user from hazards/bind/Leech Seed; +1 Spe.,高速旋转,通过旋转来攻击对手。100%几率提升自身速度1级。还可以摆脱绑紧、紧束、寄生种子和撒菱等招式。
razorleaf,Razor Leaf,High critical hit ratio. Hits adjacent foes.,飞叶快刀,飞出叶片，切斩对手进行攻击。容易击中要害。
razorshell,Razor Shell,50% chance to lower the target's Defense by 1.,贝壳刃,用锋利的贝壳切斩对手进行攻击。50%几率降低对手的防御1级。
razorwind,Razor Wind,"Charges, then hits foe(s) turn 2. High crit ratio.",旋风刃,制造风之刃，于第２回合攻击对手。容易击中要害。
recover,Recover,Heals the user by 50% of its max HP.,自我再生,让全身的细胞获得再生，回复最大HP一半的ＨＰ。
recycle,Recycle,Restores the item the user last used.,回收利用,使战斗中已经消耗掉的自己的持有物再生，并可以再次使用。
reflect,Reflect,"For 5 turns, physical damage to allies is halved.",反射壁,在５回合内使用神奇的墙，从对手那受到的物理攻击的伤害减半。
reflecttype,Reflect Type,User becomes the same type as the target.,镜面属性,反射对手的属性，让自己也变成一样的属性。
refresh,Refresh,"User cures its burn, poison, or paralysis.",焕然一新,让身体休息，治愈自己身上所中的毒、麻痹、灼伤的异常状态。
relicsong,Relic Song,10% chance to sleep foe(s). Meloetta transforms.,古老之歌,让对手听古老之歌，打动对手的内心进行攻击。10%几率让对手陷入睡眠状态。
rest,Rest,User sleeps 2 turns and restores HP and status.,睡觉,连续睡上２回合。回复自己的全部ＨＰ以及治愈所有异常状态。
retaliate,Retaliate,Power doubles if an ally fainted last turn.,报仇,为倒下的同伴报仇。如果上一回合有同伴倒下，威力翻倍。
return,Return,Max 102 power at maximum Happiness.,报恩,为了训练家而全力攻击对手。亲密度越高，威力越大。最大102。
revelationdance,Revelation Dance,Type varies based on the user's primary type.,觉醒之舞,全力跳舞进行攻击。此招式的属性将变得和自己的属性相同。
revenge,Revenge,Power doubles if user is damaged by the target.,报复,如果本回合受到对手的招式攻击，就能给予对手２倍的伤害。
reversal,Reversal,More power the less HP the user has left.,起死回生,竭尽全力进行攻击。自己的ＨＰ越少，招式的威力越大。
risingvoltage,Rising Voltage,2x power if target is grounded in Electric Terrain.,电气上升,用从地面升腾而起的电击进行攻击。当对手处于电气场地上时，威力翻倍。
roar,Roar,Forces the target to switch to a random ally.,吼叫,放走对手，强制拉后备宝可梦上场。如果对手为野生宝可梦，战斗将直接结束。
roaroftime,Roar of Time,User cannot move next turn.,时光咆哮,释放出扭曲时间般的强大力量攻击对手。下一回合自己将无法动弹。
rockblast,Rock Blast,Hits 2-5 times in one turn.,岩石爆击,向对手发射坚硬的岩石进行攻击。连续攻击２～５次。
rockclimb,Rock Climb,20% chance to confuse the target.,攀岩,用尽全力扑向对手进行攻击。20%几率使对手混乱。
rockpolish,Rock Polish,Raises the user's Speed by 2.,岩石打磨,打磨自己的身体，减少空气阻力。100%几率提高自己的速度2级。
