weatherball,Weather Ball,Power doubles and type varies in each weather.,气象球,根据使用时的天气，招式属性和威力会改变。,Meteorobola,"Su tipo será Agua en Llovizna, Fuego en Día Soleado, Hielo en Granizo o Roca en Tormenta de Arena. El clima duplica su poder base."
whirlpool,Whirlpool,Traps and damages the target for 4-5 turns.,潮旋,将对手困在激烈的水流旋涡中，在４～５回合内进行攻击。,Torbellino,"El rival permanece atrapado de 4 a 5 turnos, recibiendo un daño del 6.25% del PS cada turno. El poder base se duplica si el rival preparando un Buceo."
whirlwind,Whirlwind,Forces the target to switch to a random ally.,吹飞,吹飞对手，强制拉后备宝可梦上场。如果对手为野生宝可梦，战斗将直接结束。,Remolino,"El Pokémon rival es intercambiado por otro al azar del entrenador rival. Si es salvaje, huirá."
wickedblow,Wicked Blow,Always results in a critical hit.,暗冥强击,将恶之流派修炼至大成的猛烈一击。必定会击中要害。,Wicked Blow,Always results in a critical hit.
wideguard,Wide Guard,Protects allies from multi-target moves this turn.,广域防守,在１回合内防住击打我方全员的攻击。,Vastaguardia,Evita todo daño directo y efectos de movimientos del rival de objetivo múltiple tanto al usuario como a sus compañeros. Su precisión se reduce con cada uso consecutivo.
wildcharge,Wild Charge,Has 1/4 recoil.,疯狂伏特,让电流覆盖全身撞向对手进行攻击。自己也会受到1/4的伤害。,Voltio Cruel,Provoca un daño de retroceso del 25% del daño provocado al Pokémon rival.
willowisp,Will-O-Wisp,Burns the target.,鬼火,放出怪异的火焰，从而让对手陷入灼伤状态。,Fuego Fatuo,Provoca Quemadura. Activa la habilidad Absorbe Fuego.
wingattack,Wing Attack,No additional effect.,翅膀攻击,大大地展开美丽的翅膀，将其撞向对手进行攻击。,Ataque Ala,Ninguno.
wish,Wish,"Next turn, 50% of the user's max HP is restored.",祈愿,在下一回合回复自己或是替换出场的宝可梦最大ＨＰ的一半。,Deseo,"Recupera PS al Pokémon que se encuentre activo el siguiente turno, sea el usuario u otro, por la mitad del PS máximo del usuario."
withdraw,Withdraw,Raises the user's Defense by 1.,缩入壳中,缩入壳里保护身体，从而提高自己的防御1级。,Refugio,Aumenta un nivel la Defensa al usuario.
wonderroom,Wonder Room,"For 5 turns, all Defense and Sp. Def stats switch.",奇妙空间,制造出离奇的空间。在５回合内互换所有宝可梦的防御和特防。,Zona Extraña,Por 5 turnos los stats de Defensa y Defensa Especial de todos los Pokémon se intercambian entre sí.
woodhammer,Wood Hammer,Has 33% recoil.,木槌,用坚硬的躯体撞击对手进行攻击。自己也会受到1/3的伤害。,Mazazo,Provoca un daño de retroceso al usuario equivalente al 33% del daño provocado al rival.
workup,Work Up,Raises the user's Attack and Sp. Atk by 1.,自我激励,激励自己，从而提高攻击和特攻各1级。,Avivar,Aumenta un nivel el Ataque y el Ataque Especial del usuario.
worryseed,Worry Seed,The target's Ability becomes Insomnia.,烦恼种子,种植心神不宁的种子。使对手不能入眠，并将特性变成不眠。,Abatidoras,"Cambia la habilidad del rival a Insomnio hasta que sea intercambiado, salvo que fuera Ausente o Multitipo."
wrap,Wrap,Traps and damages the target for 4-5 turns.,紧束,使用长长的身体或藤蔓等，在４～５回合内紧束对手进行攻击。,Constricción,"El Pokémon rival permanece atrapado de 4 a 5 turnos, recibiendo un daño del 12.5% del PS cada turno."
wringout,Wring Out,More power the more HP the target has left.,绞紧,用力勒紧对手进行攻击。对手的ＨＰ越多，威力越大。,Estrujón,El poder del movimiento es mayor cuanto más PS le quede al rival. El poder base será: 1 + (PS Actual Rival / PS Máximo Rival) x 120 (máx. 121).
xscissor,X-Scissor,No additional effect.,十字剪,将镰刀或爪子像剪刀般地交叉，顺势劈开对手。,Tijera X,Ninguno.
yawn,Yawn,Puts the target to sleep after 1 turn.,哈欠,打个大哈欠引起瞌睡。在下一回合让对手陷入睡眠状态。,Bostezo,"Provoca un bostezo en el rival, que caerá dormido el siguiente turno salvo que sea intercambiado."
zapcannon,Zap Cannon,100% chance to paralyze the target.,电磁炮,发射大炮一样的电流进行攻击。100%几率让对手陷入麻痹状态。,Electrocañón,100% de paralizar al rival.
zenheadbutt,Zen Headbutt,20% chance to flinch the target.,意念头锤,将思念的力量集中在前额进行攻击。20%几率使对手畏缩。,Cabezazo Zen,20% de hacer retroceder al rival.
zingzap,Zing Zap,30% chance to flinch the target.,麻麻刺刺,撞向对手，并发出强电，使其感到麻麻刺刺的。30%几率使对手畏缩。,Electropunzada,30% de hacer retroceder al rival.
zippyzap,Zippy Zap,Goes first. Raises user's evasion by 1.,电电加速,迅猛无比的电击。必定能够先制攻击，必定会击中对方的要害。,Pikaturbo,Golpea primero. Siempre provoca un Golpe Crítico salvo que una habilidad o efecto lo impida.
hiddenpowerbug,Hidden Power Bug,,觉醒力量（虫）,招式的属性会随着使用此招式的宝可梦而改变。,,
hiddenpowerdark,Hidden Power Dark,,觉醒力量（暗影）,招式的属性会随着使用此招式的宝可梦而改变。,,
hiddenpowerdragon,Hidden Power Dragon,,觉醒力量（龙）,招式的属性会随着使用此招式的宝可梦而改变。,,
hiddenpowerelectric,Hidden Power Electric,,觉醒力量（电）,招式的属性会随着使用此招式的宝可梦而改变。,,
hiddenpowerfighting,Hidden Power Fighting,,觉醒力量（格斗）,招式的属性会随着使用此招式的宝可梦而改变。,,
hiddenpowerfire,Hidden Power Fire,,觉醒力量（火）,招式的属性会随着使用此招式的宝可梦而改变。,,
hiddenpowerflying,Hidden Power Flying,,觉醒力量（飞）,招式的属性会随着使用此招式的宝可梦而改变。,,
hiddenpowerghost,Hidden Power Ghost,,觉醒力量（幽灵）,招式的属性会随着使用此招式的宝可梦而改变。,,
hiddenpowergrass,Hidden Power Grass,,觉醒力量（草）,招式的属性会随着使用此招式的宝可梦而改变。,,
hiddenpowerground,Hidden Power Ground,,觉醒力量（地）,招式的属性会随着使用此招式的宝可梦而改变。,,
hiddenpowerice,Hidden Power Ice,,觉醒力量（冰）,招式的属性会随着使用此招式的宝可梦而改变。,,
hiddenpowerpoison,Hidden Power Poison,,觉醒力量（毒）,招式的属性会随着使用此招式的宝可梦而改变。,,
hiddenpowerpsychic,Hidden Power Psychic,,觉醒力量（超能）,招式的属性会随着使用此招式的宝可梦而改变。,,
hiddenpowerrock,Hidden Power Rock,,觉醒力量（岩石）,招式的属性会随着使用此招式的宝可梦而改变。,,
hiddenpowersteel,Hidden Power Steel,,觉醒力量（钢）,招式的属性会随着使用此招式的宝可梦而改变。,,
hiddenpowerwater,Hidden Power Water,,觉醒力量（水）,招式的属性会随着使用此招式的宝可梦而改变。,,
magikarpsrevenge,Magikarp's Revenge,Does many things turn 1. Can't move turn 2.,鲤鱼王的复仇,第1回合做很多事情，第2回合不能行动。,,
ID,Name,Description (Short),Name (Chinese),Description (Chinese Short),Name (Spanish),Description (Spanish Short)
10000000voltthunderbolt,"10,000,000 Volt Thunderbolt",Very high critical hit ratio.,千万伏特,戴着帽子的皮卡丘将通过Z力量增强的电击全力释放给对手，容易命中要害。,Gigarrayo Fulminante,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por Pikachu con gorra con Ash-Pikastal Z equipado. Alta probabilidad de Golpe Crítico.
absorb,Absorb,User recovers 50% of the damage dealt.,吸取,吸取对手的养分进行攻击，可以回复给予对手伤害的一半ＨＰ。,Absorber,El usuario recupera PS equivalente a la mitad del daño causado.
accelerock,Accelerock,Usually goes first.,冲岩,迅速撞向对手进行攻击，必定能够先制攻击。,Roca Veloz,Golpea primero.
acid,Acid,10% chance to lower the foe(s) Sp. Def by 1.,溶解液,将强酸泼向对手进行攻击，10%几率令目标特防降低1级。,Ácido,10% de reducir un nivel la Defensa Especial al rival.
acidarmor,Acid Armor,Raises the user's Defense by 2.,溶化,通过细胞的变化进行液化，从而大幅提高自己的防御，	令自己防御提升2级。,Armadura Ácida,Aumenta dos niveles la Defensa al usuario.
aciddownpour,Acid Downpour,Power is equal to the base move's Z-Power.,强酸剧毒灭绝雨,通过Ｚ力量使毒沼涌起，全力让对手沉下去，威力会根据原来的招式而改变。,Diluvio Corrosivo,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por un Pokémon con el Cristal Z correspondiente. Su potencia depende del movimiento original.
acidspray,Acid Spray,100% chance to lower the target's Sp. Def by 2.,酸液炸弹,喷出能溶化对手的液体进行攻击，大幅降低对手的特防，	100%几率令目标特防降低2级。,Bomba Ácida,Baja dos niveles la Defensa Especial al rival.
acrobatics,Acrobatics,Power doubles if the user has no held item.,杂技,轻巧地攻击对手，自己没有携带道具时，威力翻倍。,Acróbata,El poder base se duplica si el usuario no lleva equipado objeto.
acupressure,Acupressure,Raises a random stat of the user or an ally by 2.,点穴,通过点穴让身体舒筋活络，大幅提高某１项能力2级。,Acupresión,"Aumenta dos niveles un stat al azar del usuario (Ataque, Defensa, Ataque Especial, Defensa Especial, Velocidad, Precisión y Evasión)."
aerialace,Aerial Ace,This move does not check accuracy.,燕返,以敏捷的动作戏弄对手后进行切斩，攻击必定会命中。,Golpe Aéreo,Siempre golpea.
aeroblast,Aeroblast,High critical hit ratio.,气旋攻击,发射空气旋涡进行攻击，容易击中要害，击中要害率比普通招式高1级。,Aerochorro,Alta probabilidad de Golpe Crítico.
afteryou,After You,The target makes its move right after the user.,您先请,支援我方或对手的行动，使其紧接着此招式之后行动。,Cede Paso,"Siempre que el Pokémon objetivo haya elegido un ataque sin daño directo, el usuario le obliga a ejecutarlo después de él."
agility,Agility,Raises the user's Speed by 2.,高速移动,让身体放松变得轻盈，以便高速移动，令自己速度提高2级。,Agilidad,Aumenta dos niveles la Velocidad al usuario.
aircutter,Air Cutter,High critical hit ratio. Hits adjacent foes.,空气利刃,用锐利的风切斩对手进行攻击，容易击中要害，击中要害率比普通招式高1级。,Aire Afilado,Alta probabilidad de Golpe Crítico.
airslash,Air Slash,30% chance to flinch the target.,空气斩,用连天空也能劈开的空气之刃进行攻击，有时会使对手畏缩，30%几率令目标畏缩。,Tajo Aéreo,30% de hacer retroceder al rival.
alloutpummeling,All-Out Pummeling,Power is equal to the base move's Z-Power.,全力无双激烈拳,通过Ｚ力量制造出能量弹，全力撞向对手，威力会根据原来的招式而改变。,Ráfaga Demoledora,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por un Pokémon con el Cristal Z correspondiente. Su potencia depende del movimiento original.
allyswitch,Ally Switch,The user swaps positions with its ally.,交换场地,用神奇的力量瞬间移动，互换自己和同伴所在的位置。,Cambio Banda,El usuario intercambia su posición con la de un Pokémon aliado.
amnesia,Amnesia,Raises the user's Sp. Def by 2.,瞬间失忆,将头脑清空，瞬间忘记某事，从而大幅提高自己的特防，令自己特防提高2级。,Amnesia,Aumenta dos niveles la Defensa Especial al usuario.
anchorshot,Anchor Shot,Prevents the target from switching out.,掷锚,将锚缠住对手进行攻击，使对手无法逃走。,Anclaje,"Impide al rival ser intercambiado, salvo usando Relevo, Ida y Vuelta, Voltiocambio o Última Palabra, o si tiene Muda Concha o Botón Escape."
ancientpower,Ancient Power,10% chance to raise all stats by 1 (not acc/eva).,原始之力,用原始之力进行攻击，有时会提高自己所有的能力，10%几率令自己全部能力提升1级。,Poder Pasado,"10% de aumentar un nivel el Ataque, la Defensa, la Velocidad, el Ataque Especial y la Defensa Especial al usuario."
appleacid,Apple Acid,100% chance to lower the target's Sp. Def by 1.,苹果酸,使用从酸苹果中提取出来的酸性液体进行攻击，降低对手特防，令对手特防降低1级。,Apple Acid,100% chance to lower the target's Sp. Def by 1.
aquajet,Aqua Jet,Usually goes first.,水流喷射,以迅雷不及掩耳之势扑向对手，必定能够先制攻击。,Acua Jet,Golpea primero.
aquaring,Aqua Ring,User recovers 1/16 max HP per turn.,水流环,在自己身体的周围覆盖用水制造的幕，每回合回复ＨＰ。,Acua Aro,El usuario recupera un 6.25% de PS cada turno hasta que cae debilitado o es intercambiado (salvo Relevo).
aquatail,Aqua Tail,No additional effect.,水流尾,如惊涛骇浪般挥动大尾巴攻击对手。,Acua Cola,Ninguno.
armthrust,Arm Thrust,Hits 2-5 times in one turn.,猛推,用张开着的双手猛推对手进行攻击，连续攻击２～５次。,Empujón,Golpea de 2 a 5 veces seguidas.
aromatherapy,Aromatherapy,Cures the user's party of all status conditions.,芳香治疗,让同伴闻沁人心脾的香气，从而治愈我方全员的异常状态。,Aromaterapia,Cura cualquier problema de estado de cualquier miembro de tu equipo.
aromaticmist,Aromatic Mist,Raises an ally's Sp. Def by 1.,芳香薄雾,通过神奇的芳香，提高我方宝可梦的特防，令一位同伴的特防提升1级。,Niebla Aromática,Aumenta un nivel la Defensa Especial al usuario y sus aliados.
assist,Assist,Uses a random move known by a team member.,借助,向我方紧急求助，从我方宝可梦已学会的招式中随机使用１个。,Ayuda,Usa un movimiento al azar de entre los que conocen el resto de miembros de tu equipo que no están en batalla.
assurance,Assurance,Power doubles if target was damaged this turn.,恶意追击,如果此回合内对手已经受到伤害的话，招式威力会变成２倍。,Buena Baza,"Su poder base se duplica si el rival ya ha recibido daño ese turno (retroceso, Púas, Trampa Rocas, Vidasfera)."
astonish,Astonish,30% chance to flinch the target.,惊吓,用尖叫声等突然惊吓对手进行攻击，有时会使对手畏缩，30%几率令目标畏缩。,Impresionar,30% de hacer retroceder al rival.
astralbarrage,Astral Barrage,No additional effect. Hits adjacent foes.,星碎,用大量的小灵体向对手发起攻击。,Astral Barrage,No additional effect. Hits adjacent foes.
attackorder,Attack Order,High critical hit ratio.,攻击指令,召唤手下，让其朝对手发起攻击，容易击中要害，击中要害率比普通招式高1级。,Al Ataque,Alta probabilidad de Golpe Crítico.
attract,Attract,A target of the opposite gender gets infatuated.,迷人,诱惑对手，让对手着迷，对手将很难使出招式。,Atracción,Provoca una atracción al rival del género contrario.
aurasphere,Aura Sphere,This move does not check accuracy.,波导弹,从体内产生出波导之力，然后向对手发出，攻击必定会命中。,Esfera Aural,Siempre golpea.
aurawheel,Aura Wheel,Morpeko: Electric; Hangry: Dark; 100% +1 Spe.,气场轮,用储存在颊囊里的能量进行攻击，并提升自己的速度，其属性会随着莫鲁贝可的样子而改变。,Aura Wheel,Morpeko: Electric; Hangry: Dark; 100% +1 Spe.
aurorabeam,Aurora Beam,10% chance to lower the target's Attack by 1.,极光束,向对手发射虹色光束进行攻击，有时会降低对手的攻击，10%几率令目标攻击降低1级。,Rayo Aurora,10% de reducir un nivel el Ataque al rival.
auroraveil,Aurora Veil,"For 5 turns, damage to allies is halved. Hail only.",极光幕,在５回合内减弱物理和特殊的伤害，只有冰雹时才能使出。,Velo Aurora,Reduce el daño provocado a tu Pokémon por ataques físicos y especiales del rival en un 50% (33% en 2vs2) durante 5 turnos. Sólo se puede usar durante Granizo.
autotomize,Autotomize,Raises the user's Speed by 2; user loses 100 kg.,身体轻量化,削掉身体上没用的部分。大幅提高自己的速度，同时体重也会变轻，令自己速度提升2级。,Aligerar,Aumenta dos niveles la Velocidad al usuario. Su peso queda reducido en 100 kg.
avalanche,Avalanche,Power doubles if user is damaged by the target.,雪崩,如果受到对手的招式攻击，就能给予该对手２倍威力的攻击。,Alud,El poder base se duplica si el usuario es golpeado antes de usar este movimiento en el mismo turno.
babydolleyes,Baby-Doll Eyes,Lowers the target's Attack by 1.,圆瞳,用圆瞳凝视对手，从而降低其攻击。必定能够先制攻击，令目标攻击降低1级。,Ojitos Tiernos,Baja un nivel el Ataque al rival. Golpea primero.
baddybad,Baddy Bad,Summons Reflect.,坏坏领域,恶行恶相地进行攻击，制造一道能减弱对手的反射壁。,Umbreozona,Reduce el daño provocado a tu Pokémon por ataques físicos del rival en un 50% (33% en 2vs2) durante 5 turnos.
banefulbunker,Baneful Bunker,Protects from moves. Contact: poison.,碉堡,防住对手攻击的同时，让接触到自己的对手中毒。,Búnker,Evita todo daño directo y efectos de movimientos del rival. Su precisión se reduce con cada uso consecutivo. Provoca Envenenamiento si un Pokémon hace contacto.
barrage,Barrage,Hits 2-5 times in one turn.,投球,向对手投掷圆形物体进行攻击，连续攻击２～５次。,Presa,Golpea de 2 a 5 veces seguidas.
barrier,Barrier,Raises the user's Defense by 2.,屏障,制造坚固的壁障，从而大幅提高自己的防御，令自己防御提升2级。,Barrera,Aumenta dos niveles la Defensa al usuario.
batonpass,Baton Pass,"User switches, passing stat changes and more.",接棒,和后备宝可梦进行替换，换上的宝可梦能直接继承其能力的变化。,Relevo,"El Pokémon usuario es intercambiado por otro Pokémon del equipo a elegir, conservando ciertos modificadores y estados."
beakblast,Beak Blast,Burns on contact with the user before it moves.,鸟嘴加农炮,先加热鸟嘴后再进行攻击，鸟嘴在加热时对手触碰的话，就会使其灼伤。,Pico Cañón,Ataca último y provoca Quemadura a todo Pokémon que lo golpee mientras se carga.
beatup,Beat Up,All healthy allies aid in damaging the target.,围攻,我方全员进行攻击，同行的宝可梦越多，招式的攻击次数越多。,Paliza,Cada Pokémon del equipo que esté sano (sin estado) hará un ataque de poder base variable en función de su stat base de Ataque. El daño se calcula también con su Ataque.
behemothbash,Behemoth Bash,Damage doubles if the target is Dynamaxed.,巨兽弹,变身为巨大的盾，撞击对手，如果对手正处于极巨化状态，则造成的伤害会变成2倍。,Behemoth Bash,Damage doubles if the target is Dynamaxed.
behemothblade,Behemoth Blade,Damage doubles if the target is Dynamaxed.,巨兽斩,变身为巨大的剑，挥斩对手，如果对手正处于极巨化状态，则造成的伤害会变成2倍。,Behemoth Blade,Damage doubles if the target is Dynamaxed.
belch,Belch,Cannot be selected until the user eats a Berry.,打嗝,朝着对手打嗝，并给予伤害，如果不吃树果则无法使出。,Eructo,"El usuario debe haber consumido una Baya para usar este ataque, de lo contrario fallará."
bellydrum,Belly Drum,User loses 50% max HP. Maximizes Attack.,腹鼓,将自己的ＨＰ减少到最大ＨＰ的一半，从而最大限度提高自己的攻击。,Tambor,"Aumenta seis niveles el Ataque al usuario, que pierde la mitad de su PS máximo. Si el usuario tiene 50% de PS o menos, el movimiento falla."
bestow,Bestow,User passes its held item to the target.,传递礼物,当对手未携带道具时，能够将自己携带的道具交给对手。,Ofrenda,"El usuario traspasa su objeto al Pokémon objetivo, siempre que éste no tenga ninguno."
bide,Bide,Waits 2 turns; deals double the damage taken.,忍耐,在２回合内忍受攻击，受到的伤害会２倍返还给对手。,Venganza,"Aguanta todos los golpes de su rival durante 2 turnos, para luego causarle un daño en PS equivalente al doble del recibido por él."
bind,Bind,Traps and damages the target for 4-5 turns.,绑紧,使用长长的身体或藤蔓等，在４～５回合内绑紧对手进行攻击。,Atadura,"El Pokémon rival permanece atrapado de 4 a 5 turnos, recibiendo un daño del 12.5% del PS cada turno."
bite,Bite,30% chance to flinch the target.,咬住,用尖锐的牙咬住对手进行攻击，有时会使对手畏缩，30%几率令目标畏缩。,Mordisco,30% de hacer retroceder al rival.
blackholeeclipse,Black Hole Eclipse,Power is equal to the base move's Z-Power.,黑洞吞噬万物灭,通过Ｚ力量收集恶能量，全力将对手吸入，威力会根据原来的招式而改变。,Agujero Negro Aniquilador,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por un Pokémon con el Cristal Z correspondiente. Su potencia depende del movimiento original.
blastburn,Blast Burn,User cannot move next turn.,爆炸烈焰,用爆炸的火焰烧尽对手进行攻击，下一回合自己将无法动弹。,Anillo Ígneo,Impide al usuario usar un movimiento o ser intercambiado en el siguiente turno.
blazekick,Blaze Kick,High critical hit ratio. 10% chance to burn.,火焰踢,攻击对手后，有时会使其陷入灼伤状态，也容易击中要害，10%几率令目标烧伤。,Patada Ígnea,10% de quemar al rival. Alta probabilidad de Golpe Crítico.
blizzard,Blizzard,10% chance to freeze foe(s). Can't miss in hail.,暴风雪,将猛烈的暴风雪刮向对手进行攻击，有时会让对手陷入冰冻状态，	10%几率令目标冰冻。,Ventisca,10% de congelar al rival. En Granizo no falla.
block,Block,Prevents the target from switching out.,挡路,张开双手进行阻挡，封住对手的退路，使其不能逃走。,Bloqueo,"Impide al rival ser intercambiado, salvo usando Relevo, Ida y Vuelta, Voltiocambio o Última Palabra, o si tiene Muda Concha o Botón Escape."
bloomdoom,Bloom Doom,Power is equal to the base move's Z-Power.,绚烂缤纷花怒放,通过Ｚ力量借助花草的能量，全力攻击对手，威力会根据原来的招式而改变。,Megatón Floral,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por un Pokémon con el Cristal Z correspondiente. Su potencia depende del movimiento original.
blueflare,Blue Flare,20% chance to burn the target.,青焰,用美丽而激烈的青焰包裹住对手进行攻击，有时会让对手陷入灼伤状态，20%几率令目标烧伤。,Llama Azul,20% de quemar al rival.
bodypress,Body Press,Uses user's Def stat as Atk in damage calculation.,扑击,用身体撞向对手进行攻击，防御越高，给予的伤害就越高。,Body Press,Uses user's Def stat as Atk in damage calculation.
bodyslam,Body Slam,30% chance to paralyze the target.,泰山压顶,用整个身体压住对手进行攻击，有时会让对手陷入麻痹状态，30%几率令目标麻痹。,Golpe Cuerpo,30% de paralizar al rival.
boltbeak,Bolt Beak,Power doubles if user moves before the target.,电喙,用带电的喙啄刺对手，如果比对手先出手攻击，招试的威力会变为2倍。,Bolt Beak,Power doubles if user moves before the target.
boltstrike,Bolt Strike,20% chance to paralyze the target.,雷击,让强大的电流覆盖全身，猛撞向对手进行攻击，有时会让对手陷入麻痹状态，20%几率令目标麻痹。,Ataque Fulgor,20% de paralizar al rival.
boneclub,Bone Club,10% chance to flinch the target.,骨棒,用手中的骨头殴打对手进行攻击，有时会使对手畏缩，10%几率令目标畏缩。,Hueso Palo,10% de hacer retroceder al rival.
bonemerang,Bonemerang,Hits 2 times in one turn.,骨头回力镖,攻击目标造成伤害，一回合内连续攻击2次。,Huesomerang,Golpea 2 veces seguidas.
bonerush,Bone Rush,Hits 2-5 times in one turn.,骨棒乱打,"用坚硬的骨头殴打对手进行攻击,连续攻击２～５次。",Ataque Óseo,Golpea de 2 a 5 veces seguidas.
boomburst,Boomburst,No additional effect. Hits adjacent Pokemon.,爆音波,"没有额外的影响,击中附近的口袋妖怪。",Estruendo,Ninguno.
bounce,Bounce,Bounces turn 1. Hits turn 2. 30% paralyze.,弹跳,第一回合弹跳上天空进行蓄力，第二回合发动攻击。有30%的几率使目标陷入麻痹状态。,Bote,"30% de paralizar al rival. Precisa un turno de preparación en el cielo, en que sólo puede ser golpeado por Tornado, Remolino, Trueno, Ciclón, Gancho Alto, Antiaéreo y Vendaval."
bouncybubble,Bouncy Bubble,User recovers 50% of the damage dealt.,活活气泡,攻击目标造成伤害，自身的ＨＰ恢复造成的伤害的50%,Vapodrenaje,El usuario recupera PS equivalente a la mitad del daño causado.
branchpoke,Branch Poke,No additional effect.,木枝突刺,攻击目标造成伤害。,Branch Poke,No additional effect.
bravebird,Brave Bird,Has 33% recoil.,勇鸟猛攻,攻击目标造成伤害。使用者承受对目标造成伤害的1⁄3的伤害。,Pájaro Osado,Provoca un daño de retroceso al usuario equivalente al 33% del daño provocado al rival.
breakingswipe,Breaking Swipe,100% chance to lower the foe(s) Attack by 1.,广域破坏,攻击目标造成伤害。令目标的攻击降低1级。,Breaking Swipe,100% chance to lower the foe(s) Attack by 1.
breakneckblitz,Breakneck Blitz,Power is equal to the base move's Z-Power.,究极无敌大冲撞,通过Ｚ力量气势猛烈地全力撞上对手。威力会根据原来的招式而改变。,Carrera Arrolladora,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por un Pokémon con el Cristal Z correspondiente. Su potencia depende del movimiento original.
brickbreak,Brick Break,"Destroys screens, unless the target is immune.",劈瓦,破坏对方场地的光墙、反射壁和极光幕，并攻击目标造成伤害。不受反射壁和极光幕的伤害降低影响。,Demolición,"Destruye Pantalla de Luz, Reflejo y Velo Aurora, incluso si falla."
brine,Brine,Power doubles if the target's HP is 50% or less.,盐水,攻击目标造成伤害。如果目标的ＨＰ为其最大ＨＰ的1⁄2或以下，威力翻倍。,Salmuera,El poder base se duplica si el rival tiene menos de la mitad de su PS máximo.
brutalswing,Brutal Swing,No additional effect. Hits adjacent Pokemon.,狂舞挥打,攻击目标造成伤害。作用范围内的宝可梦，无论对手还是同伴，都会受到伤害。,Giro Vil,Golpea a todos los Pokémon adyacentes al usuario haciendo contacto en todos ellos.
bubble,Bubble,10% chance to lower the foe(s) Speed by 1.,泡沫,攻击目标造成伤害。10%几率令目标的速度降低1级。,Burbuja,10% de reducir un nivel la Velocidad al rival.
bubblebeam,Bubble Beam,10% chance to lower the target's Speed by 1.,泡沫光线,攻击目标造成伤害。10%几率令目标的速度降低1级。,Rayo Burbuja,10% de reducir un nivel la Velocidad al rival.
bugbite,Bug Bite,User steals and eats the target's Berry.,虫咬,窃取并吃掉目标身上的树果。,Picadura,"Si el rival lleva una Baya equipada, el usuario se la coge y la usa en ese instante. Kouba se activa y reduce el daño de este ataque. La Baya se puede recuperar con Reciclaje."
bugbuzz,Bug Buzz,10% chance to lower the target's Sp. Def by 1.,虫鸣,攻击目标造成伤害。10%几率令目标的特防降低1级。,Zumbido,10% de reducir un nivel la Defensa Especial al rival.
bulkup,Bulk Up,Raises the user's Attack and Defense by 1.,健美,令使用者的攻击提升1级。令使用者的防御提升1级。,Corpulencia,Aumenta un nivel el Ataque y la Defensa al usuario.
bulldoze,Bulldoze,100% chance lower adjacent Pkmn Speed by 1.,重踏,攻击目标造成伤害。100%几率令目标的速度降低1级。场地处于青草场地时威力下降50%。,Terratemblor,100% de reducir un nivel la Velocidad al rival.
bulletpunch,Bullet Punch,Usually goes first.,子弹拳,攻击目标造成伤害。必定能够先制攻击。,Puño Bala,Golpea primero.
bulletseed,Bullet Seed,Hits 2-5 times in one turn.,种子机关枪,攻击目标造成伤害，一回合内连续攻击2～5次。,Recurrente,Golpea de 2 a 5 veces seguidas.
burningjealousy,Burning Jealousy,100% burns a target that had a stat rise this turn.,妒火,令该回合内能力变化曾提高过的宝可梦陷入灼伤状态。,Burning Jealousy,100% burns a target that had a stat rise this turn.
burnup,Burn Up,User's Fire type becomes typeless; must be Fire.,燃尽,攻击目标造成伤害。使用后自身火属性变成无属性，其他属性的顺位不会改变，离场后恢复。,Llama Final,"El usuario perderá su tipo Fuego (si lo tiene), con lo que ello afecta a sus inmunidades, debilidades y resistencias."
buzzybuzz,Buzzy Buzz,100% chance to paralyze the foe.,麻麻电击,攻击目标造成伤害。麻麻电击有100%的几率使目标陷入麻痹状态。,Joltioparálisis,100% de paralizar al rival.
calmmind,Calm Mind,Raises the user's Sp. Atk and Sp. Def by 1.,冥想,令使用者的特攻提升1级。令使用者的特防提升1级。,Paz Mental,Aumenta un nivel el Ataque Especial y la Defensa Especial al usuario.
camouflage,Camouflage,Changes user's type by terrain (default Normal).,保护色,根据地形或场地型状态改变自身的属性，场地型状态的效果覆盖地形的效果。(默认为一般),Camuflaje,Cambia el tipo del Pokémon en función del terreno de batalla.
captivate,Captivate,Lowers the foe(s) Sp. Atk by 2 if opposite gender.,诱惑,令目标的特攻降低2级。如果自身与目标相同性别，或一方为无性别，则招式失败。,Seducción,"Si el rival es del género opuesto, baja dos niveles su Ataque Especial."
catastropika,Catastropika,No additional effect.,皮卡皮卡必杀击,皮卡皮卡必杀击会造成伤害。攻击必定会命中。,Pikavoltio Letal,Movimiento Z que sólo puede ser usado una vez por combate. Sólo puede ser utilizado por Pikachu con Pikastal Z equipado.
celebrate,Celebrate,No competitive use.,庆祝,宝可梦为十分开心的玩家庆祝。没有任何效果的观赏招式。,Celebración,No hace nada.
charge,Charge,"+1 SpD, user's Electric move next turn 2x power.",充电,使自身进入充电状态持续1回合。电属性招式的威力加倍。同时还令使用者的特防提升1级。,Carga,El movimiento de tipo Eléctrico que el usuario use el siguiente turno verá su poder base duplicado. Aumenta un nivel la Defensa Especial al usuario.
